Feature,Score
Age,0.06644922877139381
BusinessTravel,0.011487448434095904
DailyRate,0.05761556357646991
Department,0.011188387264978197
DistanceFromHome,0.04303356510727799
Education,0.021349713448482816
EducationField,0.021444516254879746
EnvironmentSatisfaction,0.0381999708759536
Gender,0.009339007237666327
HourlyRate,0.041534149785782945
JobInvolvement,0.025091999896665367
JobLevel,0.027396430579944175
JobRole,0.03060492660640939
JobSatisfaction,0.02699860457549286
MaritalStatus,0.024094537856744175
MonthlyIncome,0.0689384085059079
MonthlyRate,0.05099694108037023
NumCompaniesWorked,0.02692713600379625
OverTime,0.07597854496652433
PercentSalaryHike,0.03121099745929264
PerformanceRating,0.004725284408558569
RelationshipSatisfaction,0.022539514754597197
StockOptionLevel,0.03834071952368785
TotalWorkingYears,0.050894681540472546
TrainingTimesLastYear,0.024474060245729446
WorkLifeBalance,0.01912705020544713
YearsAtCompany,0.04262185313471941
YearsInCurrentRole,0.03016068669128372
YearsSinceLastPromotion,0.02378399778796855
YearsWithCurrManager,0.03345207341940709
